Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Libraries,General Fund,Sargeant Memorial Collection (SMC),Personnel Services,Group Life Insurance Perm,2273.54,2118
2022,Police,General Fund,Second Patrol,Equipment,Equip-Bldg-Mech & Portable,2282.38,2738
2022,Human Resources,General Fund,Director Of Human Resources,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,2286.88,9476
2022,Police,General Fund,Special Enforcement Division,Contractual Services,Membership Dues & Subscription,2290.72,2000
2022,Parking Facilities Fund,Parking Facilities,Operations,Contractual Services,Membership Dues & Subscription,2291.5,2400
2022,Planning and Community Development,General Fund,Planning,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,2295.09,9977
2022,Norfolk Community Services Board,Community Services Board,Shelter Plus Care Grant,Public Assistance,Client Exp-Transportation,2311,1500
2022,Police,General Fund,Detective,Equipment,Equip-Office & Household,2318.16,5666
2022,Norfolk Community Services Board,Community Services Board,Shelter Plus Care Grant,Personnel Services,Employers Contrb Hospitalizatn,2324.85,10659
2022,Human Services,General Fund,Social Services,Public Assistance,ILP-Education & Training Vouchers,2339,25000
2022,Sheriff,General Fund,Sheriff And Jail,"Materials, Supplies, and Repairs",Supplies-Recreational,2339.04,4000
2022,Finance Department,Gen Fixed Assets Group Of Acct,Facility And Enterprise Managmnt,Contractual Services,Depr-System Account,2348.62,0
2022,Human Services,General Fund,Social Services,Contractual Services,Membership Dues & Subscription,2355,5800
2022,Planning and Community Development,General Fund,Planning,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,2364.92,3364
2022,The National Maritime Center,Maritime Center,USS Wisconsin,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,2368.27,5733
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,"Materials, Supplies, and Repairs",Supplies-Office,2374.98,6547
2022,Neighborhood Development,General Fund,Director's Office,Personnel Services,Retirement Expense (Vsrs Emp),2386.9,0
2022,Libraries,General Fund,Programming Services,"Materials, Supplies, and Repairs",Supplies-Office,2393.69,4350
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Supplies-Office,2419.43,4340
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,2425.57,11990
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Repairs-Building Equipment,2427.84,0
2022,Police,Gen Fixed Assets Group Of Acct,Federal Forfeitures,Contractual Services,Depr-System Account,2428.43,0
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Personnel Services,Group Life Insurance Perm,2430.79,2592
2022,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Computer Software-Under $1000,2432.33,7500
2022,Norfolk Community Services Board,Community Services Board,Executive Director's Office,"Materials, Supplies, and Repairs",Supplies-Office,2450.84,2240
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,2453.34,7600
2022,Finance Department,General Fund,Purchasing Agent,Contractual Services,Membership Dues & Subscription,2455,2000
2022,Finance Department,General Fund,Retirement,Equipment,Equip-Office & Household,2456.81,0
2022,Finance Department,General Fund,Retirement,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,2457.05,11926
2022,Neighborhood Development,General Fund,Director's Office,Contractual Services,Promotional Activities,2467.47,3000
2022,Water,Water Utility Fund,Division Of Engineering,Contractual Services,Telephone,2467.94,30000
2022,Norfolk Community Services Board,Community Services Board,Behavioral Health Outpatient Services,Personnel Services,Group Life Insurance Perm,2474.05,3771
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",2477.14,10000
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),"Materials, Supplies, and Repairs",Supplies-Office,2482.83,1326
2022,Zoological Park,General Fund,Zoo,"Materials, Supplies, and Repairs",Food,2485.5,500
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Small Tools,2485.79,4500
2022,Norfolk Community Services Board,Community Services Board,Child And Adolescent Cm,Personnel Services,Semi-Monthly/Monthly Overtime,2488.49,0
2022,Transportation,General Fund,Transportation,Contractual Services,Employee Training Expense,2494.61,2250
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Contractual Services,Advertising,2496.05,250
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Personnel Services,Group Life Insurance Perm,2504.12,1601
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Food,2510.19,2500
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Contractual Services,Other Contractual Services,2519.26,1356
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Contractual Services,Membership Dues & Subscription,2520.94,70
2022,Slover Library,General Fund,Slover Library,"Materials, Supplies, and Repairs",Supplies-Program,2522.75,5000
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Personnel Services,Retirement Expense (Vsrs Emp),2523.04,0
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Small Tools,2529.49,7000
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Personnel Services,Group Life Insurance Perm,2543.14,3463
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,"Materials, Supplies, and Repairs",Supplies-Office,2543.96,1288
2022,Transportation,General Fund,Transportation,Equipment,Equip-Software-Over $1000,2544.26,1500
2022,Norfolk Community Services Board,Gen Fixed Assets Group Of Acct,Crisis Intervention Team,Contractual Services,Depr-System Account,2561.25,0
2022,The National Maritime Center,Maritime Center,Schools & Education Services,"Materials, Supplies, and Repairs",Supplies-Recreational,2562.92,7500
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Computer Software-Under $1000,2577.83,500
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,2579.47,6100
2022,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Retirement Expense (Vsrs Emp),2585.01,0
2022,Libraries,General Fund,Branch Operations,Contractual Services,Security Services,2586.58,3160
2022,Water,Water Utility Fund,Division Of Water Quality,Personnel Services,Retirement Expense (Vsrs Emp),2588.34,0
2022,Norfolk Community Services Board,Community Services Board,Mental Health Services Admin,Personnel Services,Semi-Monthly/Monthly Overtime,2594.4,0
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,2594.75,8000
2022,Police,General Fund,Training,"Materials, Supplies, and Repairs",Supplies-Police,2597.93,2050
2022,Police,General Fund,Administrative Services,Contractual Services,Parking Validations,2604,10000
2022,Public Works,General Fund,Bureau Of Design,Contractual Services,Membership Dues & Subscription,2611.52,2550
2022,Transportation,General Fund,Directors Office,"Materials, Supplies, and Repairs",Supplies-Office,2618.34,3000
2022,Police,General Fund,Chief Of Police,Contractual Services,Membership Dues & Subscription,2620,3089
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Water & Sewage Disposal,2623.68,3000
2022,Transportation,General Fund,Transportation,Contractual Services,Rent Of Equipment,2624.71,2500
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,Traveling Expense,2665.88,668
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Traveling Expense,2678.54,4500
2022,Norfolk Community Services Board,Community Services Board,Opiod Replacement Clinic,Personnel Services,Retirement Expense (Vsrs Emp),2682.02,0
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,Personnel Services,Retirement Expense (Vsrs Emp),2688.22,0
2022,Parking Facilities Fund,Parking Facilities,Operations,Contractual Services,Security Services,2700,13000
2022,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Water & Sewage Disposal,2701.43,5735
2022,Police,General Fund,Anti-Crime Division,Contractual Services,Traveling Expense,2729.52,2753
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Food,2736.16,8250
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Personnel Services,Social Security Fica Tax,2754.43,6504
2022,Police,General Fund,Property-Evidence,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,2755.29,4500
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,Water & Sewage Disposal,2756.9,4000
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Personnel Services,Temporary/Casual Employment,2765.16,19330
2022,Police,General Fund,Technology Support Unit,Contractual Services,Other Contractual Services,2773.6,4000
2022,Police,General Fund,Animal Protection,"Materials, Supplies, and Repairs",Supplies-Office,2776.96,439
2022,The National Maritime Center,Maritime Center,Visitors Services,Personnel Services,Group Life Insurance Perm,2785.16,2991
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Contractual Services,Telephone,2786.37,0
2022,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Rent Of Equipment,2791.55,1750
2022,The National Maritime Center,Maritime Center,Schools & Education Services,Personnel Services,Temporary/Casual Employment,2801.73,686
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Supplies-Office,2810,12500
2022,Police,General Fund,First Patrol,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,2828.58,3341
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,Employee Training Expense,2830,4000
2022,Office of Marketing and Communications,General Fund,Office of Marketing and Communications,Personnel Services,Retirement Expense (Vsrs Emp),2831.42,0
2022,Norfolk Community Services Board,Gen Fixed Assets Group Of Acct,Supportive Housing,Contractual Services,Depr-System Account,2838.57,0
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",2839.28,7869
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Personnel Services,Group Life Insurance Perm,2843.17,3013
2022,Human Services,General Fund,Ysb - Secure Detention,Contractual Services,Employee Training Expense,2851.52,4000
2022,Human Services,General Fund,Local Only Programs,Contractual Services,Security Services,2864.32,24146
2022,Water,Water Utility Fund,Division of Water Production,Equipment,Equip-Signal & Radio,2866.5,3000
2022,Water,Water Utility Fund,Division Of Water Quality,Contractual Services,Telephone Chargeback I.S.,2880,2880
2022,Human Services,General Fund,Social Services,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,2882.49,1000
2022,Human Resources,General Fund,Director Of Human Resources,Personnel Services,Semi-Monthly/Monthly Overtime,2886.35,0
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,2898.28,8500
2022,Police,General Fund,Community Affairs,"Materials, Supplies, and Repairs",Food,2909.53,3000
2022,Office of Marketing and Communications,General Fund,Norfolk Arts,Personnel Services,Group Life Insurance Perm,2936.7,2944
2022,Norfolk Community Services Board,Community Services Board,Quality Management,Contractual Services,Other Contractual Services,2945.46,1546
2022,The National Maritime Center,Maritime Center,Visitors Services,"Materials, Supplies, and Repairs",Supplies-Printing & Reproductn,2951.63,11528
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Membership Dues & Subscription,2956.67,1650
2022,Water,Water Utility Fund,Divison Of Water Accounts,"Materials, Supplies, and Repairs",Repairs-Office Equipment,3000,1250
2022,Norfolk Community Services Board,Community Services Board,Child And Adolescent Cm,Personnel Services,Group Life Insurance Perm,3011.75,5041
2022,Planning and Community Development,General Fund,Division of Codes Administration,Contractual Services,Employee Training Expense,3015.5,6053
2022,Sheriff,General Fund,Sheriff And Jail,Contractual Services,Employee Training Expense,3015.72,6000
2022,Planning and Community Development,General Fund,Planning & Community Developement,"Materials, Supplies, and Repairs",Supplies-Office,3020.89,2968
2022,Finance Department,General Fund,City Controller,Contractual Services,Traveling Expense,3022.07,1100
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Personnel Services,Semi-Monthly/Monthly Overtime,3030.05,0
2022,Planning and Community Development,General Fund,Division of Codes Administration,"Materials, Supplies, and Repairs",Supplies-Office,3032.96,4828
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,3047.61,3000
2022,Transportation,General Fund,Directors Office,Contractual Services,Telephone,3060.45,5400
2022,Finance Department,General Fund,City Controller,Contractual Services,Court Costs & Damage Claims,3068.9,1180
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Employee Training Expense,3073,5700
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Repairs-Auto,3075.34,6058
2022,Public Works,Gen Fixed Assets Group Of Acct,Transportation,Contractual Services,Depr-System Account,3086.77,0
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Public Assistance,Client Exp-Personal Items,3089.86,10000
2022,Norfolk Community Services Board,Community Services Board,Homeless Initiatives,Contractual Services,Telephone,3100.43,2800
2022,Zoological Park,General Fund,Horticulture Services,Personnel Services,Group Life Insurance Perm,3105.12,3652
2022,Norfolk Community Services Board,Community Services Board,Healthcare Informatics,Personnel Services,Retirement Expense (Vsrs Emp),3111.3,0
2022,Zoological Park,General Fund,Animal Services,"Materials, Supplies, and Repairs",Chemicals,3139.01,500
2022,General Services,General Fund,Facility and Enterprise Management,Equipment,Equip-Software-Over $1000,3141.14,42032
2022,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Telephone,3143.15,3100
2022,Police,General Fund,Public Safety Financial Management,"Materials, Supplies, and Repairs",Supplies-Office,3152.35,2174
2022,Slover Library,General Fund,Slover Library,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,3154.07,2000
2022,Zoological Park,General Fund,Zoo,Contractual Services,Employee Training Expense,3160,5000
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,Personnel Services,Social Security Fica Tax,3164.44,3500
2022,Fire-Rescue,General Fund,Operations,"Materials, Supplies, and Repairs",Small Tools,3168.35,2000
2022,Finance Department,General Fund,Finance Director Office,"Materials, Supplies, and Repairs",Supplies-Office,3169.86,2180
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Buildings,3169.95,3224
2022,Police,General Fund,Third Patrol,"Materials, Supplies, and Repairs",Repairs-Buildings,3190.67,350
2022,Parking Facilities Fund,Parking Facilities,Operations,Equipment,Equip-Software-Over $1000,3200,11000
2022,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Supplies-Office,3225.04,23371
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Telephone,3226.05,2000
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Contractual Services,Other Contractual Services,3241.2,15243
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Social Security Fica Tax,3243.96,3037
2022,Water,Water Utility Fund,Division of Water Distribution,Personnel Services,Retirement Expense (Vsrs Emp),3249.35,0
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Personnel Services,Retirement Expense (Vsrs Emp),3250.22,0
2022,Norfolk Community Services Board,Community Services Board,ROI,Contractual Services,Other Contractual Services,3279.15,6000
2022,The National Maritime Center,Maritime Center,Visitors Services,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,3288.05,8500
2022,Public Works,General Fund,Directors Office Public Works,Equipment,Equip-Office & Household,3293.64,5098
2022,Norfolk Community Services Board,Community Services Board,Child And Adolescent Cm,Personnel Services,Retirement Expense (Vsrs Emp),3293.92,0
2022,Emergency Preparedness and Response,EOC-911,Services-Civil Emergency,"Materials, Supplies, and Repairs",Supplies-Office,3299.57,1048
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Contractual Services,Employee Training Expense,3325.36,17000
2022,Police,Gen Fixed Assets Group Of Acct,Second Patrol,Contractual Services,Depr-System Account,3345.41,0
2022,Libraries,Gen Fixed Assets Group Of Acct,Develop Library Facilities-South Anchor Branch,Contractual Services,Depr-System Account,3361.15,0
2022,Police,General Fund,Chief Of Police,Contractual Services,Other Contractual Services,3386.26,921950
2022,Finance Department,General Fund,City Controller,Contractual Services,Telephone,3387.24,1000
2022,Waste Management,Waste Management,Waste Management,Equipment,Equip-Office & Household,3389.31,10500
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,Personnel Services,Group Life Insurance Perm,3401.81,3162
2022,Neighborhood Development,General Fund,Neighborhood Quality,Contractual Services,Employee Training Expense,3404,20305
2022,Neighborhood Development,General Fund,Neighborhood Quality,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,3421.18,3300
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Office,3426.42,3245
2022,Finance Department,General Fund,Finance Director Office,Contractual Services,Promotional Activties/Supplies,3445.72,500
2022,General Services,General Fund,Facility and Enterprise Management,"Materials, Supplies, and Repairs",Signs,3464,7200
2022,Police,General Fund,Chief Of Police,Contractual Services,Traveling Expense,3464.25,6588
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Group Life Insurance Perm,3472.68,3586
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,"Materials, Supplies, and Repairs",Repairs-Building Equipment,3481.5,6020
2022,Police,General Fund,Detective,Contractual Services,Employee Training Expense,3484.4,1500
2022,Police,General Fund,Pistol Range,"Materials, Supplies, and Repairs",Gas-Natural & Propane,3533.41,2700
2022,Water,Water Utility Fund,Division Of Water Quality,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,3536,3537
2022,General Services,General Fund,Animal Care Center,Equipment,Technology Equipment,3557.54,11520
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,Personnel Services,Semi-Monthly/Monthly Overtime,3560.99,7000
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,3561.03,4000
2022,Norfolk Community Services Board,Community Services Board,Bayview Group Home,"Materials, Supplies, and Repairs",Supplies-Maintenance,3570,3000
2022,Police,Gen Fixed Assets Group Of Acct,SPECIAL POLICE GRANT,Contractual Services,Gain/Loss-Disp Of Assets-Systm,3577.26,0
2022,Sheriff,General Fund,Sheriff And Jail,"Materials, Supplies, and Repairs",Gas-Natural & Propane,3585.97,2750
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Supplies-Office,3590.99,2500
2022,Emergency Preparedness and Response,EOC-911,Services-Civil Emergency,Personnel Services,Group Life Insurance Perm,3597.18,5294
2022,General Services,General Fund,Facility and Enterprise Management,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,3609.8,1575
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Public Assistance,Client Exp-Rental Assistance,3615,3336
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Contractual Services,Traveling Expense,3625.5,5636
2022,Human Services,General Fund,Social Services,Contractual Services,Refuse & Garbage Disposal,3634.14,15000
2022,Police,General Fund,Animal Protection,"Materials, Supplies, and Repairs",Supplies-Police,3638.27,1500
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Personnel Services,Retirement Expense (Vsrs Emp),3645.68,0
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Water & Sewage Disposal,3647.4,4000
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Supplies-Office,3647.57,11666
2022,The Department of Parks & Recreation (P&R),General Fund,Special Services,Personnel Services,Retirement Expense (Vsrs Emp),3650.93,0
2022,Water,Water Utility Fund,Division Of Engineering,"Materials, Supplies, and Repairs",Small Tools,3678.3,2000
2022,Finance Department,General Fund,Purchasing Agent,Contractual Services,Other Contractual Services,3680.98,0
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,"Materials, Supplies, and Repairs",Supplies-Office,3704.45,2500
2022,Transportation,General Fund,Right of Way,Contractual Services,Telephone,3718.71,3719
2022,Finance Department,General Fund,Purchasing Agent,Contractual Services,Traveling Expense,3729.95,1000
2022,Sheriff,General Fund,Sheriff And Jail,Contractual Services,Membership Dues & Subscription,3734.48,17000
2022,Sheriff,Gen Fixed Assets Group Of Acct,U.S Marshal Service SRF,Contractual Services,Depr-System Account,3738.7,0
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,Rent Of Equipment,3763.14,22000
2022,Water,Water Utility Fund,Division Of Account.& Budget,Contractual Services,Employee Training Expense,3774.69,1700
2022,The National Maritime Center,Maritime Center,Visitors Services,Contractual Services,Traveling Expense,3779.74,5198
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Food,3785.59,1000
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,"Materials, Supplies, and Repairs",Supplies-Office,3802,0
2022,Fire-Rescue,General Fund,Administration,Contractual Services,Employee Training Expense,3807.8,3500
2022,Water,Water Utility Fund,Division Of Account.& Budget,"Materials, Supplies, and Repairs",Supplies-Office,3807.82,2702
2022,Public Health,General Fund,Vector Control,"Materials, Supplies, and Repairs",Small Tools,3809.19,2000
2022,Public Works,General Fund,Surveys,Equipment,Equip-Software-Over $1000,3816.39,4500
2022,Development,General Fund,Development Division,Department Specific Appropriation,Land Improvements-Street,3827,0
2022,Norfolk Community Services Board,Community Services Board,Opiod Replacement Clinic,"Materials, Supplies, and Repairs",Supplies-Office,3827.18,3523
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,Contractual Services,Ind/Comm Marketing,3843.76,14500
2022,Public Works,General Fund,Bureau Of Design,Contractual Services,Rent Of Equipment,3852.72,3789
2022,Zoological Park,General Fund,Operations,"Materials, Supplies, and Repairs",Small Tools,3855.36,2000
2022,Police,General Fund,Criminal Intelligence,"Materials, Supplies, and Repairs",Supplies-Office,3855.49,1700
2022,Police,General Fund,Office of Professional Standards,"Materials, Supplies, and Repairs",Supplies-Office,3867.54,5320
2022,Public Works,General Fund,Streets And Bridges,Contractual Services,Water & Sewage Disposal,3868.23,3500
2022,Public Works,General Fund,Right of Way,Contractual Services,Telephone,3870.23,2281
2022,Finance Department,General Fund,Finance Director Office,Contractual Services,Telephone,3877.09,2500
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Equipment,Equip-Bldg-Mech & Portable,3879.22,170000
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Personnel Services,Group Life Insurance Perm,3902.05,13933
2022,Zoological Park,General Fund,Zoo,Personnel Services,Group Life Insurance Perm,3903.41,4358
2022,Human Services,General Fund,Social Services,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,3910.69,18120
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Personnel Services,Semi-Monthly/Monthly Overtime,3911.62,0
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,Contractual Services,Telephone,3912.29,1000
2022,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,3931,6000
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,3953.82,5347
2022,Norfolk Community Services Board,Community Services Board,Youth Outpatient,Personnel Services,Group Life Insurance Perm,3955.75,5172
2022,Zoological Park,General Fund,Zoo,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,3956.28,6000
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,Equipment,Equip-Bldg-Mech & Portable,3962.88,3000
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Repairs-Buildings,3974.33,5500
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Personnel Services,Group Life Insurance Perm,4000.52,3899
2022,The Department of Parks & Recreation (P&R),General Fund,Special Services,Personnel Services,Group Life Insurance Perm,4021.5,8706
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Chemicals,4023.72,5000
2022,Police,General Fund,Assistant Chief ASB,"Materials, Supplies, and Repairs",Supplies-Office,4026.69,450
2022,Neighborhood Development,General Fund,Neighborhood Quality,"Materials, Supplies, and Repairs",Supplies-Office,4030.64,2000
2022,Planning and Community Development,General Fund,Division of City Planning,Contractual Services,Advertising,4030.97,4840
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Water Distrib System,4050,650
2022,Libraries,General Fund,Director¿s Office,Contractual Services,Membership Dues & Subscription,4067,1500
2022,Police,General Fund,Training,Contractual Services,Advertising,4080.99,4000
2022,Zoological Park,General Fund,Animal Services,"Materials, Supplies, and Repairs",Food,4084.03,4071.48
2022,Transportation,General Fund,Right of Way,Personnel Services,Group Life Insurance Perm,4085.73,4086
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,4097.6,4672
2022,Zoological Park,General Fund,Zoo,Contractual Services,Rent Of Equipment,4101.36,5300
2022,Public Works,General Fund,Streets And Bridges,Contractual Services,Other Contractual Services,4131,8500
2022,Human Services,General Fund,Local Only Programs,Personnel Services,Social Security Fica Tax,4155.89,10968
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Personnel Services,Group Life Insurance Perm,4168.67,4909
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Promotional Activities,4175.58,9000
2022,Public Works,General Fund,Right of Way,Personnel Services,Group Life Insurance Perm,4181.28,4002
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),"Materials, Supplies, and Repairs",Electricity,4183.86,0
2022,Norfolk Community Services Board,Community Services Board,Executive Director's Office,Personnel Services,Group Life Insurance Perm,4187.82,4002
2022,Norfolk Community Services Board,Community Services Board,Forensic Services Admin,Contractual Services,Other Contractual Services,4218.36,4504
2022,Libraries,General Fund,Programming Services,Personnel Services,Group Life Insurance Perm,4225.15,6930
2022,Norfolk Community Services Board,Community Services Board,Supported Employment Grp,Contractual Services,Other Contractual Services,4233.66,70000
2022,Norfolk Community Services Board,Community Services Board,Youth Forensic Services,Personnel Services,Social Security Fica Tax,4240.39,4405
2022,Police,General Fund,Training,"Materials, Supplies, and Repairs",Repairs-Office Equipment,4245.63,1700
2022,Planning and Community Development,General Fund,Planning & Community Developement,Personnel Services,Retirement Expense (Vsrs Emp),4277.31,45000
2022,Parking Facilities Fund,Parking Facilities,Operations,Contractual Services,Refuse & Garbage Disposal,4289.76,3648
2022,Finance Department,General Fund,City Controller,Personnel Services,Retirement Expense (Vsrs Emp),4303.76,0
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Telephone Chargeback I.S.,4320,4320
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,Contractual Services,Traveling Expense,4333.68,2000
2022,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,4336,4337
2022,The Department of Parks & Recreation (P&R),General Fund,Director¿s Office,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,4336,4337
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Personnel Services,Group Life Insurance Perm,4337.07,3795
2022,Water,Water Utility Fund,Divison Of Water Accounts,"Materials, Supplies, and Repairs",Supplies-Office,4370.52,9500
2022,The Department of Parks & Recreation (P&R),General Fund,Director¿s Office,Personnel Services,Group Life Insurance Perm,4371.99,4321
2022,Planning and Community Development,General Fund,Planning & Community Developement,Personnel Services,Group Life Insurance Perm,4390.59,3744
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Contractual Services,Temp Services-Admin/Clerical,4391,1
2022,Norfolk Community Services Board,Gen Fixed Assets Group Of Acct,Peer Recovery Services,Contractual Services,Depr-System Account,4407,0
