Fiscal Year,Department Name,Unit Name,Fund Name,Revenue Source Name,Revenue Name,Total Collected,Total Budgeted
2022,Clerk of the Circuit Court,Clerk Of Circuit Court,General Fund,Taxes-Estate Probate,Other Local Taxes,44887.38,45000
2022,Norfolk Community Services Board,Integrated Care Clinic,Community Services Board,Federal Gov Pass Thru-Spec Rev,Federal Aid,44766,44766
2022,Transportation,Transportation,General Fund,Commissions-Others,Use of Money and Property,44504.65,40000
2022,Parking Facilities Fund,Main Street Garage,Parking Facilities,Parking-Discount Stamp,Charges for Services,43803.36,45960
2022,Human Services,Social Services,General Fund,Norfolk Interagency Consortium,Categorical Aid - Virginia,43149,60000
2022,Parking Facilities Fund,Park & Ride Lot,Parking Facilities,Parking-Recreational,Charges for Services,43121.32,19820
2022,General Services,Facility and Enterprise Management,General Fund,Rec Cost-Utilities,Recovered Costs,42430.84,28800
2022,Cemeteries,Cemetery,Cemetary Fund,Rollover From Last Year,Other Sources and Transfers In,42000,42000
2022,Parking Facilities Fund,Macarthur Center_South,Parking Facilities,Parking Long Term-City,Charges for Services,41205.12,139448
2022,Parking Facilities Fund,York Street Garage,Parking Facilities,Parking Long Term-City,Charges for Services,41166.03,33629
2022,Sheriff,Sheriff And Jail,General Fund,Soc Sec Pymts - Prisoners,Federal Aid,40800,48000
2022,Clerk of the Circuit Court,Clerk Of Circuit Court,General Fund,Interest-Other,Use of Money and Property,40566.07,25000
2022,Parking Facilities Fund,Vepco Lot,Parking Facilities,Parking-Recreational,Charges for Services,40211,1516
2022,Norfolk Community Services Board,Intake,Community Services Board,Fees-Program,Charges for Services,39218.26,42000
2022,Storm Water Management,Storm Water Operations,Storm Water Utility Fund,Sale Of-Salvage Materials,Use of Money and Property,38760,0
2022,Public Works,Surveys,General Fund,Sales Surveys-Blueprints-Maps,Charges for Services,37950.46,40000
2022,Parking Facilities Fund,Boush Street Garage,Parking Facilities,Parking-Recreational,Charges for Services,37476.2,16542
2022,Sheriff,Sheriff And Jail,General Fund,Fees-City Sheriff,Charges for Services,36616.41,38100
2022,Parking Facilities Fund,Arena Lot,Parking Facilities,Parking-Long Term,Charges for Services,35124.03,22708
2022,Parking Facilities Fund,Operations,Parking Facilities,Decals-Residential Parking,Permits and  Fees,32829.85,28469
2022,Waste Management,Waste Management,Waste Management,Sale Of-Salvage Materials,Use of Money and Property,32043.55,10000
2022,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Int Service Fund-Auto Maint,Other Income Contributions,Miscellaneous Revenue,30932.44,0
2022,Cultural Facilities Arts Entertainment,Cultural Affairs & Special Events,General Fund,Rental-Special Programs,Use of Money and Property,30913.04,50000
2022,Zoological Park,Zoo,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,30002,150
2022,Norfolk Community Services Board,Mental Health Court,Community Services Board,Fees-Program,Charges for Services,29040.98,60000
2022,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Int Service Fund-Auto Maint,Isf Collections-Spec Revenue,Charges for Services,28278,28278
2022,Norfolk Community Services Board,Drug Court,Community Services Board,Fees-Program,Charges for Services,28275.66,0
2022,Norfolk Community Services Board,Youth Outpatient,Community Services Board,Fees-Program,Charges for Services,27626.19,50000
2022,Water,Divison Of Water Accounts,Water Utility Fund,Meter Test & Penalties,Permits and  Fees,26950,141000
2022,Neighborhood Development,IMPACT Norfolk,General Fund,Rec Cost-Parking Facilities Fd,Recovered Costs,26038,26038
2022,Water,Divison Of Water Accounts,Water Utility Fund,Fees-Boat,Permits and  Fees,25893,28000
2022,Human Services,Social Services,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,25003.19,10000
2022,The Department of Parks & Recreation (P&R),Recreation Parks Open Space,General Fund,Rental-Picnic Shelters,Use of Money and Property,24455,0
2022,Norfolk Community Services Board,Intake,Community Services Board,Federal Gov Pass Thru-Spec Rev,Federal Aid,23858,23858
2022,Slover Library,Slover Library,General Fund,Slover Commissions,Miscellaneous Revenue,23829.95,0
2022,Parking Facilities Fund,City Hall Surface Lot,Parking Facilities,Parking Long Term-City,Charges for Services,23821.93,0
2022,Parking Facilities Fund,East Street Lot,Parking Facilities,Parking-Long Term,Charges for Services,23546.92,30000
2022,Public Works,Utility Cuts Repairs,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,22363.99,80000
2022,Norfolk Community Services Board,SA Case Management,Community Services Board,Fees-Program,Charges for Services,22325.9,15000
,,,,,,,
2022,Neighborhood Development,Neighborhood Quality,General Fund,Fees-Elevator Inspection,Permits and  Fees,20851.4,25000
2022,Police,Administrative Services,General Fund,Fines-False Alarm,Fines and Forfeitures,20406.8,30000
2022,Police,Field Operations,General Fund,Nonemergency Traffic Escort,Charges for Services,20007,17000
2022,Clerk of the Circuit Court,Clerk Of Circuit Court,General Fund,Court Costs,Charges for Services,19716.91,43000
2022,Parking Facilities Fund,City Hall Surface Lot,Parking Facilities,Parking-Recreational,Charges for Services,19159.28,0
2022,General Services,Animal Care Center,General Fund,Charges-Animal Protection,Charges for Services,19001.89,40000
2022,Public Works,Utility Cuts Repairs,General Fund,Rental-Equipment,Use of Money and Property,18804.41,73685
2022,Office of Marketing and Communications,Office of Marketing and Communications,General Fund,Rec Cost-Public Information,Recovered Costs,17680.2,8300
2022,Clerk of the Circuit Court,Clerk Of Circuit Court,General Fund,Fees-Court Officers,Charges for Services,17423.3,30000
2022,Parking Facilities Fund,Operations,Parking Facilities,Interest-Investments,Use of Money and Property,17191,262755
2022,Norfolk Community Services Board,Emergency Services,Community Services Board,Fees-Program,Charges for Services,16882.35,40000
2022,Transportation,Transportation,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,16199.94,10000
2022,Transportation,Right of Way,General Fund,Permits-Driveway,Permits and  Fees,16070,30000
2022,Norfolk Community Services Board,ID Case Management,Community Services Board,Commonwealth Of Va-Spec Rev,Categorical Aid - Virginia,15721,0
2022,Norfolk Community Services Board,Youth Forensic Services,Community Services Board,Contract Revenue,Recovered Costs,15646.74,0
2022,Libraries,Libaries,General Fund,Charges-Reprographics/Printing,Charges for Services,15279.32,10000
2022,Norfolk Community Services Board,OBRA,Community Services Board,Commonwealth Of Va-Spec Rev,Categorical Aid - Virginia,15000,27198
2022,Norfolk Community Services Board,Prevention Services,Community Services Board,Commonwealth Of Va-Spec Rev,Categorical Aid - Virginia,14305.54,9306
2022,Public Works,Right of Way,General Fund,Permits-Driveway,Permits and  Fees,14130,0
2022,Sheriff,Sheriff And Jail,General Fund,Jail Processing Fees,Charges for Services,14082.42,30000
2022,Finance Department,Purchasing Agent,General Fund,Sale Of-Salvage Materials,Use of Money and Property,13572.39,2000
2022,Parking Facilities Fund,Town Point Garage,Parking Facilities,Parking Develpment Revenue,Charges for Services,13332,13332
2022,Parking Facilities Fund,Boush Street Garage,Parking Facilities,Parking Short Term-City,Charges for Services,13241,15001
2022,Neighborhood Development,IMPACT Norfolk,General Fund,Rec Cost-Gen Overhead/Water Fd,Recovered Costs,12595,12595
2022,Parking Facilities Fund,Park & Ride Lot,Parking Facilities,Parking-Long Term,Charges for Services,12246.67,6035
2022,Norfolk Community Services Board,Integrated Care Clinic,Community Services Board,Commonwealth Of Va-Spec Rev,Categorical Aid - Virginia,12000,12000
2022,Parking Facilities Fund,Fountain Park Garage,Parking Facilities,Parking-Recreational,Charges for Services,11803.15,5802
2022,Planning and Community Development,Division of Codes Administration,General Fund,Fees-Elevator Inspection,Permits and  Fees,11625,15000
2022,Parking Facilities Fund,Main Street Garage,Parking Facilities,Parking Short Term-City,Charges for Services,11552.5,24223
2022,Norfolk Community Services Board,Behavioral Health Outpatient Services,Community Services Board,Fees-Program,Charges for Services,11409.64,230000
2022,Parking Facilities Fund,Boush Street Garage,Parking Facilities,Parking Develpment Revenue,Charges for Services,10908,8860
2022,Storm Water Management,Storm Water Operations,Storm Water Utility Fund,Interest-Investments,Use of Money and Property,10897.98,2020
2022,Sheriff,Sheriff And Jail,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,10636.99,15000
2022,Water,Divison Of Water Accounts,Water Utility Fund,Disaster Relief Aid,Federal Aid,10474.09,0
2022,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Int Service Fund-Auto Maint,Isf Collections-Towing,Charges for Services,9851,9851
2022,Storm Water Management,Storm Water Operations,Storm Water Utility Fund,Operating Transfers In,Other Sources and Transfers In,9615.16,0
2022,Water,Divison Of Water Accounts,Water Utility Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,9310,56900
2022,Sheriff,Sheriff And Jail,General Fund,Rec Cost-Recoveries & Rebates,Recovered Costs,9237.55,10000
2022,Parking Facilities Fund,City Hall Surface Lot,Parking Facilities,Parking Short Term-City,Charges for Services,8506,0
2022,Clerk of the Circuit Court,Clerk Of Circuit Court,General Fund,Fees-Transfer,Permits and  Fees,7564.5,6000
2022,Planning and Community Development,Division of City Planning Revenue,General Fund,Permit Application Process Fee,Permits and  Fees,7445,10000
2022,Police,Administrative Services,General Fund,Public Vehicle Inspect Certif,Charges for Services,7324,20000
2022,Neighborhood Development,Neighborhood Quality,General Fund,Fees-Registration Vac Bldgs,Permits and  Fees,7000,15000
2022,Parking Facilities Fund,Town Point Garage,Parking Facilities,Parking Long Term-City,Charges for Services,6800,0
2022,Police,Administrative Services,General Fund,Permits-Precious Metal Dealer,Permits and  Fees,6800,8000
2022,Planning and Community Development,Division of City Planning Revenue,General Fund,Fees-Wetland Permit,Permits and  Fees,6720,6000
2022,Parking Facilities Fund,Waterside Garage,Parking Facilities,Parking Long Term-City,Charges for Services,6667.84,11644
2022,Norfolk Community Services Board,Child And Adolescent Cm,Community Services Board,Contract Revenue,Recovered Costs,6203.5,0
2022,Planning and Community Development,Division of City Planning Revenue,General Fund,Fines Short Term Rental,,6200,0
2022,Cemeteries,Cemetery,Cemetary Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,6184.59,525
2022,Neighborhood Development,IMPACT Norfolk,General Fund,Rec Cost-Storm Water,Recovered Costs,6116,6116
2022,City Real Estate Assessor,City Real Estate Assessor,General Fund,Rec Cost-Public Information,Recovered Costs,6000,4500
2022,Norfolk Community Services Board,Mobile Crisis Services,Community Services Board,Fees-Program,Charges for Services,5411.46,200000
2022,Emergency Preparedness and Response,Services-Civil Emergency,EOC-911,Gain On Sale Of Fixed Assets,Other Sources and Transfers In,5185.85,0
2022,Norfolk Community Services Board,Healthcare Informatics,Community Services Board,Revenue-Other Miscellaneous,Miscellaneous Revenue,5171,2000
2022,Police,Administrative Services,General Fund,Permits-Taxi Operator,Permits and  Fees,4910,10000
2022,Waste Management,Waste Management,Waste Management,Penalties-Refuse Violation,Fines and Forfeitures,4900,11000
2022,Parking Facilities Fund,Main Street Garage,Parking Facilities,Parking Develpment Revenue,Charges for Services,4328.64,4310
2022,Parking Facilities Fund,Spotswood Lot 59,Parking Facilities,Meter on Facility,Charges for Services,3499.07,6041
2022,Libraries,Slover Libaries,General Fund,Fees-Library Fines,Charges for Services,3391.61,4000
2022,Emergency Preparedness and Response,Eoc-911,EOC-911,Disaster Relief Aid,Federal Aid,3356.04,0
2022,Parking Facilities Fund,West Plume St. Garage,Parking Facilities,Parking Develpment Revenue,Charges for Services,3080,4720
2022,Parking Facilities Fund,Town Point Garage,Parking Facilities,Parking-Leased,Charges for Services,2945.93,0
2022,Parking Facilities Fund,Scope,Parking Facilities,Parking Short Term-City,Charges for Services,2888.5,670
2022,General Services,Animal Care Center,General Fund,Rental-General Properties,Use of Money and Property,2747.25,16451
2022,Sheriff,Sheriff And Jail,General Fund,Fees-Jail Booking,Charges for Services,2532.33,1000
2022,Slover Library,Slover Library,General Fund,Rent,Use of Money and Property,2455,40000
2022,Parking Facilities Fund,West Plume St. Garage,Parking Facilities,Parking Long Term-City,Charges for Services,2189.35,14043
2022,Clerk of the Circuit Court,Clerk Of Circuit Court,General Fund,Dna Charges,Charges for Services,2085.02,2500
2022,Parking Facilities Fund,Educational Lot,Parking Facilities,Meter on Facility,Charges for Services,2028.3,4216
2022,Parking Facilities Fund,Downtown Plaza Lot,Parking Facilities,Parking Long Term-City,Charges for Services,1997.1,33864
2022,Water,Cross Connection,Water Utility Fund,Fees-Cross Connection Inspect,Permits and  Fees,1975,29400
2022,Water,Divison Of Water Accounts,Water Utility Fund,Fees-Miscellaneous,Permits and  Fees,1910,3100
2022,Cemeteries,Cemetery,Cemetary Fund,Disaster Relief Aid,Federal Aid,1885.74,0
2022,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Int Service Fund-Auto Maint,Isf Collections-Eoc,Charges for Services,1820,1820
2022,Police,Administrative Services,General Fund,Licenses-Burglar Alarm,Permits and  Fees,1760,2000
2022,Transportation,Right of Way,General Fund,Permits-St Construction,Permits and  Fees,1500,1000
2022,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Int Service Fund-Auto Maint,Sale Of-Salvage Materials,Use of Money and Property,1450.26,3500
2022,Human Services,Social Services,General Fund,Revenue-Other-Comm Developmnt,Miscellaneous Revenue,1365,1500
2022,Parking Facilities Fund,City Hall Surface Lot,Parking Facilities,Parking-Long Term,Charges for Services,1116.87,0
2022,Parking Facilities Fund,Bank Street Garage,Parking Facilities,Parking Short Term-City,Charges for Services,1060.5,1890
2022,The Department of Parks & Recreation (P&R),Recreation Parks Open Space,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,850,2000
2022,Parking Facilities Fund,Freemason Street Garage,Parking Facilities,Parking Short Term-City,Charges for Services,830.5,5387
2022,Office of Marketing and Communications,Office of Marketing and Communications,General Fund,Advertising,Use of Money and Property,800,1000
2022,Parking Facilities Fund,School Admin Lot,Parking Facilities,Parking-Long Term,Charges for Services,732.3,0
2022,Finance Department,Retirement,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,615,600
2022,Parking Facilities Fund,East Street Lot,Parking Facilities,Parking-Recreational,Charges for Services,564,109
2022,Planning and Community Development,Division of Codes Administration,General Fund,Fees-Tax Abatement,Charges for Services,500,4000
2022,Cultural Facilities Arts Entertainment,Cultural Affairs & Special Events,General Fund,Permits-Foot Race/Bicycle Race,Permits and  Fees,400,500
2022,Parking Facilities Fund,York Street Garage,Parking Facilities,Parking-Recreational,Charges for Services,381.35,3412
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Bulk,Charges for Services,172.64,100
2022,Planning and Community Development,Division of Codes Administration,General Fund,Rec Cost-Public Information,Recovered Costs,166,500
2022,Parking Facilities Fund,Fountain Park Garage,Parking Facilities,Parking Develpment Revenue,Charges for Services,120,390
2022,Waste Management,Waste Management,Waste Management,Revenue-Other Miscellaneous,Miscellaneous Revenue,104.36,100
2022,Parking Facilities Fund,Downtown Plaza Lot,Parking Facilities,Meter on Facility,Charges for Services,79.12,2251
2022,Police,Administrative Services,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,77,500
2022,Parking Facilities Fund,East Street Lot,Parking Facilities,Parking-Short Term,Charges for Services,65.28,93000
2022,Office of Marketing and Communications,Office of Marketing and Communications,General Fund,Permits-Other,Permits and  Fees,50,1500
2022,Public Works,Directors Office Public Works,General Fund,Revenue-Other Miscellaneous,Miscellaneous Revenue,50,0
2022,Water,Division of Water Distribution,Water Utility Fund,Sale Of-Matl&Sup-Store House,Use of Money and Property,35.63,0
2022,Parking Facilities Fund,Plume Street Garage,Parking Facilities,Parking-Recreational,Charges for Services,25,3271
